GPU,Score,Price
GeForce RTX 4090,38894,1699.99
GeForce RTX 4080,34680,1149.99
GeForce RTX 4070 Ti,31688,782.2
Radeon RX 7900 XTX,31161,949.99
Radeon PRO W7900,30928,0.0
GeForce RTX 3090 Ti,29830,1539.99
Radeon PRO W7800,29368,0.0
Radeon RX 7900 XT,28921,999.99
GeForce RTX 4090 Laptop GPU,28767,0.0
Radeon RX 6950 XT,28535,808.14
GeForce RTX 3080 Ti,27321,1143.99
Radeon RX 6900 XT,26965,926.61
GeForce RTX 3090,26871,1825.32
GeForce RTX 4070,26859,539.99
GeForce RTX 3080 12GB,26725,0.0
GeForce RTX 4080 Laptop GPU,26253,0.0
GeForce RTX 3080,25349,679.99
RTX 4000 Ada Generation,25226,0.0
Radeon RX 6800 XT,25132,489.99
Radeon RX 7900 GRE,25076,0.0
RTX 4000 Ada Generation Laptop GPU,24113,0.0
GeForce RTX 3070 Ti,23761,479.19
Radeon RX 7800 XT,23623,499.99
RTX A5000,23135,2229.99
RTX 6000 Ada Generation,23103,0.0
RTX A6000,22874,4109.99
RTX 5000 Ada Generation Laptop GPU,22872,0.0
GeForce RTX 4060 Ti 16GB,22713,499.0
GeForce RTX 4060 Ti,22530,369.99
GeForce RTX 3070,22470,449.99
RTX 4500 Ada Generation,22293,0.0
Radeon RX 6800,22293,399.99
NVIDIA A10,22064,0.0
GeForce RTX 2080 Ti,21845,1399.99
RTX A4500,21689,1079.99
Radeon RX 7700 XT,21325,429.99
Radeon RX 7900M,21232,0.0
RTX A5500,21030,2169.99
Radeon RX 6750 XT,20887,438.15
GeForce RTX 3060 Ti,20602,379.99
RTX 4000 SFF Ada Generation,20529,0.0
RTX 3500 Ada Generation Laptop GPU,20478,0.0
GeForce RTX 3080 Ti Laptop GPU,20211,0.0
Quadro GV100,20021,8999.0
Radeon PRO W6800,19967,1849.99
TITAN RTX,19912,2409.2
Radeon RX 6700 XT,19894,309.99
TITAN V,19888,1999.99
GeForce RTX 2080 SUPER,19596,740.99
GeForce RTX 4070 Laptop GPU,19561,0.0
Quadro RTX 8000,19402,4741.49
GeForce RTX 4060,19382,299.99
RTX A4000,19364,749.99
TITAN Xp COLLECTORS EDITION,19356,0.0
Quadro RTX 6000,19256,6300.0
GeForce RTX 2080,18801,800.61
Radeon RX 6700,18761,0.0
NVIDIA TITAN Xp,18703,1645.0
RTX 3000 Ada Generation Laptop GPU,18570,0.0
GeForce GTX 1080 Ti,18534,483.82
