Game,GPU,Minimum Score
"Warhammer® 40,000: Dawn of War® II Chaos Rising",GeForce 7800 GT,244
Seductive Tombs: Beach Love,Intel HD 4600,629
Rogue Lords,Radeon R9 270X,4914
Dice World,GeForce GTX 480,4040
Ancient World War,GeForce GTX 1060,10075
Babel: Choice,GeForce GTX 550 Ti,1540
Lorera,GeForce GT 530,678
The Under Presents,GeForce GTX 1060,10075
The Astro Parcel Service,GeForce GTX 970,9643
Cyber Rider,GeForce GTX 660,3997
The Alien Trials,GeForce GTX 1050,5049
Passing Pineview Forest,GeForce GTX 780,8024
Exile's End,GeForce GTX 280,1299
Greed of Man,Radeon HD 7870,4639
Memory Land Extreme,GeForce RTX 2080 SUPER,19596
Inside The Gear,GeForce GTX 660,3997
Sky Rider,GeForce GTX 980,11140
Fantasy Strike,Radeon R9 280X,6233
"I, W.O.M.A.N.",GeForce GTX 970,9643
Attractio,Radeon HD 5570,483
Strike Buster Prototype,GeForce GTX 970,9643
TOKYO GHOUL:re [CALL to EXIST],Radeon R9 290,8359
Inhabit,GeForce GTX 670,5315
Tesla Effect: A Tex Murphy Adventure,GeForce GTX 460,2253
Loopmancer,Radeon R9 390X,9447
I Frog-ot,GeForce GTX 970,9643
Riley In The Abyss,GeForce 7600 GS,157
Project Possession,GeForce GTX 1060,10075
POPULATION: ONE,Radeon R9 290,8359
Cassiodora,GeForce GTX 970,9643
The God Unit,Radeon R7 360,3062
Forsake: Urban horror,Radeon R9 290,8359
Police Car Armored: Cop Simulator,GeForce GTX 1060,10075
Project Sail,Intel HD 3000,256
A-Escape VR,GeForce GTX 970,9643
Fast Finger Rule,Intel HD 4000,344
One Million Worlds,GeForce GTX 1070,13511
SHEEP.IO,GeForce GTX 970,9643
Kalimba,GeForce GT 640,1179
Sairento VR,GeForce GTX 1080,15500
Pitchfork Kingdom,GeForce GTX 650,1753
山海长歌,GeForce GTX 1060,10075
EDEN: Create World,GeForce GTX 1050 Ti,6306
Jotunn - Day of Judgement,GeForce RTX 2060,14123
Worms W.M.D,GeForce GTX 750,3361
Edge of Dreams,GeForce GTX 980,11140
The Path To Die,Radeon HD 5570,483
Top Fun 10 VR,Radeon RX 6600,15140
A Walk Through Echoes,GeForce 7600 GS,157
迷宫坦克大战,GeForce GTX 950,5344
Lunch A Palooza,Intel HD 615,725
Our Past,GeForce GTX 1050 Ti,6306
Delivery Kore,Radeon RX 580,8901
Happy Bones Infernal,Radeon HD 5770,1344
What Lies in the Multiverse - Prologue,GeForce GTX 670,5315
Agricultural Simulator 2012: Deluxe Edition,Radeon HD 7790,3090
Adventures with Alan Parkour 3D,GeForce GT 820M,580
Floating Islands of Nucifera,Radeon R9 290,8359
Kitchen Simulator 2015,GeForce GTX 750,3361
Illuminascii,GeForce GTX 560 Ti,3035
Peekaboo,GeForce GTX 970,9643
Beyond Flesh and Blood,Radeon R9 390,8987
Echo Storm,GeForce GTX 950,5344
UnderBackrooms,GeForce GTX 1650,7864
Thirty Minute Nightmare,GeForce RTX 2070,16176
a survivor girl,Radeon RX 580,8901
Isle of Arrows,GeForce GTX 1080,15500
The Last Order: Dungeons,Radeon HD 7650A,573
VRocker,GeForce GTX 1060,10075
Eyes Of War,Radeon RX 580,8901
Cthulhu Mythos ADV Lunatic Whispers,Intel HD 615,725
Astral Cube,GeForce GTX 970,9643
Infected Backrooms: Multiplayer,GeForce GTX 1050,5049
Pipejob,GeForce GTX 970,9643
Exotica: Petshop Simulator,GeForce GTX 1660,11713
DonutCrabs,GeForce 9600 GSO,327
SEARCH ALL - CATS,Intel HD 4000,344
SwordBoy,GeForce GTX 560,2721
Riddle of the Sphinx™ The Awakening (Enhanced Edition),GeForce GTX 970,9643
Mega City Void,GeForce 9600 GSO,327
Great Pilots,Radeon HD 6450,198
The Purge Dilemma,GeForce 8800 GT,494
Oxygen,GeForce GTX 750,3361
Appetite for Detestation,GeForce GTX 760,4783
REQUISITION VR,Radeon RX 5700,14599
Cthulhu pub,GeForce GT 610,305
Cursed Town,Intel UHD Graphics,1475
GunBoxing,GeForce GTX 660,3997
Shadow Overlord: The Beginning,GeForce GTX 970,9643
Karakuru,Radeon HD 6850,1971
Assassin's Creed Valhalla,GeForce GTX 960,6046
Soul Searching,Intel Iris Plus,1819
REVOLVER360 RE:ACTOR,GeForce 8600 GT,117
ANARCHY,GeForce GTX 760,4783
Merging Cubes,GeForce GTX 1060,10075
Heroes of Eldemor,Radeon R9 380,6207
Tank Commander: Battlefield,GeForce GTX 560,2721
VOLLEYGON,GeForce GTX 460,2253
Hope; or How We Survived,GeForce 9600 GT,492
Hero Park,GeForce GTX 660,3997
Aftermath,GeForce GTX 660,3997
Street Fighter V,Radeon R7 370,4514
Mortificare,Intel HD Graphics 620,927
You Are A Pilot,Radeon R3,303
Frostford,Intel HD 4000,344
Bird Simulator,Radeon HD 7870,4639
Frogun,GeForce 820M,504
Fire Safety Lab VR,GeForce GTX 1080,15500
VR Jurassic Escape,Radeon R9 290,8359
Defect Process,Intel UHD Graphics,1475
Eleusis,GeForce GTX 280,1299
Infection Free Zone – Prologue,GeForce GTX 1060,10075
Polygon Race,GeForce GTX 950,5344
Dragon Dodge Valley,Radeon HD 4550,236
Demon Invasion: Endless,GeForce GTX 590,3341
The Dark Inside Me,Radeon HD 6570,559
Lost in Space,Radeon R9 270X,4914
Road Rage,GeForce GTX 660,3997
Backrooms Mainframe,GeForce GTX 1070,13511
Tome of Fates,GeForce GTX 970,9643
