GPU,Score,Price,Playable Games,Unplayable Games,Percent Playable
GeForce RTX 4090,38894,1699.99,4207,0,100.0
GeForce RTX 4080,34680,1149.99,4207,0,100.0
GeForce RTX 4070 Ti,31688,782.2,4207,0,100.0
Radeon RX 7900 XTX,31161,949.99,4206,1,99.97623009270264
GeForce RTX 3090 Ti,29830,1539.99,4206,1,99.97623009270264
Radeon RX 7900 XT,28921,999.99,4205,2,99.95246018540527
Radeon RX 6950 XT,28535,808.14,4205,2,99.95246018540527
GeForce RTX 3080 Ti,27321,1143.99,4205,2,99.95246018540527
Radeon RX 6900 XT,26965,926.61,4203,4,99.90492037081056
GeForce RTX 3090,26871,1825.32,4203,4,99.90492037081056
GeForce RTX 4070,26859,539.99,4201,6,99.85738055621583
GeForce RTX 3080,25349,679.99,4200,7,99.83361064891847
Radeon RX 6800 XT,25132,489.99,4189,18,99.57214166864749
GeForce RTX 3070 Ti,23761,479.19,4183,24,99.42952222486332
Radeon RX 7800 XT,23623,499.99,4182,25,99.40575231756597
RTX A5000,23135,2229.99,4182,25,99.40575231756597
RTX A6000,22874,4109.99,4182,25,99.40575231756597
GeForce RTX 4060 Ti 16GB,22713,499.0,4182,25,99.40575231756597
GeForce RTX 4060 Ti,22530,369.99,4182,25,99.40575231756597
GeForce RTX 3070,22470,449.99,4182,25,99.40575231756597
Radeon RX 6800,22293,399.99,4173,34,99.19182315188971
GeForce RTX 2080 Ti,21845,1399.99,4172,35,99.16805324459234
RTX A4500,21689,1079.99,4172,35,99.16805324459234
Radeon RX 7700 XT,21325,429.99,4172,35,99.16805324459234
RTX A5500,21030,2169.99,4172,35,99.16805324459234
Radeon RX 6750 XT,20887,438.15,4172,35,99.16805324459234
GeForce RTX 3060 Ti,20602,379.99,4172,35,99.16805324459234
Quadro GV100,20021,8999.0,4170,37,99.12051342999763
Radeon PRO W6800,19967,1849.99,4170,37,99.12051342999763
TITAN RTX,19912,2409.2,4170,37,99.12051342999763
Radeon RX 6700 XT,19894,309.99,4170,37,99.12051342999763
TITAN V,19888,1999.99,4163,44,98.9541240789161
GeForce RTX 2080 SUPER,19596,740.99,4163,44,98.9541240789161
Quadro RTX 8000,19402,4741.49,4161,46,98.90658426432137
GeForce RTX 4060,19382,299.99,4161,46,98.90658426432137
RTX A4000,19364,749.99,4160,47,98.882814357024
Quadro RTX 6000,19256,6300.0,4160,47,98.882814357024
GeForce RTX 2080,18801,800.61,4160,47,98.882814357024
NVIDIA TITAN Xp,18703,1645.0,4142,65,98.4549560256715
GeForce GTX 1080 Ti,18534,483.82,4142,65,98.4549560256715
GeForce RTX 2070 SUPER,18251,497.95,4137,70,98.33610648918469
Radeon RX 6650 XT,17477,357.33,4128,79,98.12217732350844
GeForce RTX 3060,17098,259.99,4127,80,98.09840741621107
Radeon RX 5700 XT,16778,433.56,4106,101,97.59923936296649
Radeon VII,16753,1899.95,4073,134,96.81483242215356
GeForce RTX 2060 SUPER,16578,409.99,4069,138,96.71975279296412
Radeon RX 6600 XT,16457,314.99,4065,142,96.62467316377466
GeForce RTX 2070,16176,519.99,4063,144,96.57713334917993
Radeon RX 7600,16057,259.99,4033,174,95.8640361302591
GeForce GTX 1080,15500,442.79,4033,174,95.8640361302591
Quadro RTX 4000,15473,899.0,3939,268,93.6296648443071
