GPU,Score,Price,Playable Games,Unplayable Games,Percent Playable,Percent Playable per dollar
Radeon R9 380,6207,89.99,3931,4739,45.34025374855825,0.5038365790483192
Radeon RX 6600M,13652,189.99,7627,1043,87.97001153402537,0.4630244304122605
GeForce GTX 1660 SUPER,12784,191.34,7173,1497,82.73356401384083,0.4323903209670787
GeForce GTX 1650 SUPER,10114,184.05,6885,1785,79.41176470588235,0.4314684308931396
GeForce RTX 3050,12966,214.99,7224,1446,83.32179930795847,0.38756127870114176
GeForce RTX 3060,17098,259.99,8461,209,97.58938869665513,0.3753582395348095
Radeon RX 7600,16057,259.99,8225,445,94.86735870818916,0.36488849074267915
GeForce GTX 470,3085,59.99,1709,6961,19.711649365628606,0.3285822531359994
GeForce RTX 4060,19382,299.99,8534,136,98.4313725490196,0.32811551234714353
GeForce GTX 980,11140,247.35,7000,1670,80.73817762399077,0.326412684956502
Radeon RX 6500 XT,9487,179.99,5048,3622,58.2237600922722,0.3234833051406867
Intel Arc A750,8987,179.99,5019,3651,57.88927335640138,0.3216249422545774
Radeon RX 580,8901,179.99,4983,3687,57.47404844290658,0.3193180090166486
Radeon RX 6700 XT,19894,309.99,8558,112,98.70818915801614,0.31842378514796005
GeForce GTX 1650,7864,154.99,4272,4398,49.273356401384085,0.31791313246908887
Radeon RX 5500 XT,9181,184.99,5028,3642,57.99307958477509,0.3134930514339969
GeForce GTX 1660,11713,266.73,7159,1511,82.57208765859285,0.3095718054159369
Radeon RX 6700M,13283,269.99,7225,1445,83.33333333333334,0.30865340691630555
Radeon RX 6600 XT,16457,314.99,8313,357,95.88235294117648,0.30439808546676556
Radeon RX 6400,7440,159.4,4145,4525,47.8085351787774,0.2999280751491681
Radeon RX 5700,14599,309.99,7951,719,91.70703575547866,0.29583869078189184
GeForce GTX 1060,10075,279.99,6881,1789,79.36562860438293,0.28345879711555033
GeForce GTX 970,9643,237.99,5831,2839,67.25490196078432,0.28259549544428053
Radeon RX 6600,15140,329.0,7980,690,92.04152249134948,0.2797614665390562
GeForce GTX 750 Ti,3903,88.11,2110,6560,24.336793540945788,0.27620921054302333
GeForce GTX 750,3361,79.99,1913,6757,22.064590542099193,0.2758418620089911
GeForce GTX 950,5344,141.99,3383,5287,39.01960784313726,0.27480532321386897
Radeon RX 6650 XT,17477,357.33,8463,207,97.61245674740483,0.2731717369025966
GeForce RTX 3060 Laptop GPU,13419,309.99,7265,1405,83.79469434832757,0.27031418545220026
GeForce RTX 4060 Ti,22530,369.99,8609,61,99.29642445213379,0.26837596814004105
GeForce RTX 3060 Ti,20602,379.99,8564,106,98.77739331026528,0.2599473494309463
GeForce GTX 960,6046,172.0,3872,4798,44.65974625144175,0.2596496875083823
GeForce GTX 1060 3GB,9760,269.99,5831,2839,67.25490196078432,0.24910145546421839
Radeon RX 6800,22293,399.99,8579,91,98.95040369088812,0.24738219378206486
GeForce GTX 1660 Ti,12959,337.51,7209,1461,83.14878892733563,0.24635948246669917
Quadro M3000M,5509,159.95,3383,5287,39.01960784313726,0.24394878301429984
GeForce MX150,2277,59.29,1242,7428,14.325259515570934,0.24161341736500141
GeForce RTX 2060,14123,374.5,7821,849,90.20761245674741,0.24087479961748307
Tesla M6,7509,199.0,4145,4525,47.8085351787774,0.2402438953707407
Quadro K6000,8056,210.66,4313,4357,49.74625144175317,0.23614474243688013
Radeon HD 7950 / R9 280,4765,132.2,2693,5977,31.061130334486737,0.234955600109582
GeForce RTX 2060 SUPER,16578,409.99,8326,344,96.03229527104959,0.23423082336410544
Radeon RX 7700 XT,21325,429.99,8565,105,98.78892733564014,0.229747034432522
Radeon RX 6750 XT,20887,438.15,8565,105,98.78892733564014,0.22546828103535352
Radeon RX 5700 XT,16778,433.56,8409,261,96.98961937716263,0.22370518354359864
GeForce GTX 760,4783,149.0,2872,5798,33.12572087658593,0.22232027433950288
GeForce RTX 3070,22470,449.99,8609,61,99.29642445213379,0.22066362464084488
Quadro M1000M,2895,85.99,1635,7035,18.858131487889274,0.21930609940562013
GeForce RTX 3050 Laptop GPU,9404,269.99,5028,3642,57.99307958477509,0.2147971390969113
GeForce GTX 1080,15500,442.79,8225,445,94.86735870818916,0.21424909936581485
Intel Arc A310,3876,109.99,2017,6653,23.264129181084197,0.2115113117654714
GeForce GTX 580,4545,139.92,2544,6126,29.342560553633216,0.2097095522701059
Radeon R7 260,2892,89.99,1635,7035,18.858131487889274,0.2095580785408298
GeForce RTX 3070 Ti,23761,479.19,8611,59,99.3194925028835,0.20726536969236317
Radeon RX 6800 XT,25132,489.99,8621,49,99.43483275663206,0.2029323715925469
GeForce GTX 1080 Ti,18534,483.82,8486,184,97.87773933102653,0.20230197042500628
GeForce GTX 660 Ti,4386,144.0,2503,6167,28.86966551326413,0.20048378828655647
GeForce RTX 4060 Ti 16GB,22713,499.0,8609,61,99.29642445213379,0.19899083056539837
Radeon RX 7800 XT,23623,499.99,8609,61,99.29642445213379,0.1985968208406844
T600,6467,239.99,4126,4544,47.589388696655135,0.1982973819603114
GeForce RTX 2070 SUPER,18251,497.95,8478,192,97.78546712802768,0.19637607616834557
GeForce GTX 670,5315,193.98,3286,5384,37.90080738177624,0.19538512930083637
Radeon R9 370,4722,159.99,2690,5980,31.02652825836217,0.19392792210989543
Intel Arc A580,11987,427.98,7159,1511,82.57208765859285,0.19293445408335166
GeForce GTX 970M,5724,209.99,3460,5210,39.90772779700115,0.1900458488356643
GeForce RTX 4070,26859,539.99,8649,21,99.75778546712803,0.18474006086617906
GeForce RTX 2070,16176,519.99,8307,363,95.81314878892734,0.1842595988171452
GeForce GTX 1070,13511,488.09,7627,1043,87.97001153402537,0.18023317735258945
Quadro M4000M,6266,254.91,3972,4698,45.813148788927336,0.17972283860549737
GeForce GTX 780,8024,279.99,4312,4358,49.73471741637832,0.17763033471330517
GeForce GTX 1630,5004,189.99,2915,5755,33.621683967704726,0.17696554538504514
Quadro K2200M,3441,124.95,1913,6757,22.064590542099193,0.17658735928050573
Radeon HD 7870,4639,176.0,2688,5982,31.003460207612456,0.17615602390688895
GeForce GTX 780 Ti,9486,339.99,5043,3627,58.16608996539793,0.17108176700902358
Radeon RX 460,4113,166.81,2465,6205,28.431372549019606,0.17044165547041307
GeForce GTX 1050 Ti,6306,283.99,4125,4545,47.57785467128028,0.1675335563621264
Radeon HD 8970M,3876,139.99,2017,6653,23.264129181084197,0.16618422159500104
GeForce GTX 480,4040,169.99,2448,6222,28.235294117647058,0.16609973597062802
GeForce GTX 860M,3028,114.0,1636,7034,18.86966551326413,0.1655233816952994
GeForce GTX 660,3997,167.95,2410,6260,27.79700115340254,0.16550759841263793
GeForce GTX 980M,7349,289.99,4143,4527,47.78546712802768,0.16478315503302762
GeForce GTX 650 Ti,2530,93.05,1326,7344,15.294117647058824,0.16436450990928345
GeForce GTX 770,5913,249.0,3548,5122,40.92272202998847,0.16434828124493361
Radeon R9 290X / 390X,8389,319.99,4547,4123,52.445213379469436,0.16389641357376616
GeForce GTX 570,3930,149.99,2131,6539,24.57900807381776,0.16387097855735555
Radeon RX 480,8664,339.99,4809,3861,55.46712802768165,0.16314341018171608
Radeon RX 5600 XT,13769,545.0,7652,1018,88.25836216839677,0.16194194893283811
GeForce GTX 1070 Ti,14717,569.99,7962,708,91.83391003460207,0.1611149494457834
GeForce GTX 460,2253,89.99,1225,7445,14.129181084198386,0.15700834630734956
GeForce GTX 1050,5049,239.0,3204,5466,36.95501730103806,0.1546235033516237
Radeon HD 7970 / R9 280X,5248,246.99,3207,5463,36.98961937716263,0.14976160726006166
FirePro W5100,2980,125.99,1635,7035,18.858131487889274,0.14967958955384772
Radeon R9 Fury + Fury X,9741,449.99,5831,2839,67.25490196078432,0.14945865899416502
Intel Arc A770,9568,393.23,5095,3575,58.76585928489043,0.14944398770411826
Quadro P3200,9123,389.3,5019,3651,57.88927335640138,0.14870093335833903
GeForce GTX 680M,3206,135.99,1746,6924,20.13840830449827,0.14808742043163667
GRID K520,3516,149.99,1918,6752,22.122260668973475,0.14749157056452747
GeForce GTX 560 Ti,3035,129.99,1659,7011,19.13494809688581,0.1472032317631034
GeForce RTX 3080,25349,679.99,8648,22,99.74625144175317,0.14668782105877023
Quadro P4000,11644,556.19,7010,1660,80.85351787773934,0.14537031927531838
NVIDIA TITAN X,13660,608.1,7627,1043,87.97001153402537,0.14466372559451632
Radeon R7 260X,3173,139.99,1746,6924,20.13840830449827,0.14385604903563304
Radeon HD 7790,3090,139.99,1728,6942,19.930795847750865,0.1423729969837193
Radeon Pro W5700,15421,649.99,7981,689,92.05305651672434,0.1416222657528952
Radeon Pro W5500,9134,409.99,5019,3651,57.88927335640138,0.14119679347399053
FirePro R5000,2647,109.99,1345,7325,15.513264129181085,0.1410424959467323
Radeon R9 360,3032,133.89,1636,7034,18.86966551326413,0.14093409151739586
GeForce GTX 690,5579,280.99,3414,5256,39.377162629757784,0.1401372384417872
Radeon HD 7850,3856,169.99,2017,6653,23.264129181084197,0.13685586905749866
Radeon HD 6850,1971,85.0,1006,7664,11.60322952710496,0.13650858267182306
GeForce GT 1030,2483,110.44,1295,7375,14.936562860438293,0.13524595128973463
GeForce GTX 770M,2765,138.0,1608,7062,18.546712802768166,0.13439646958527657
Radeon R9 270 / R7 370,4260,213.16,2465,6205,28.431372549019606,0.1333804304232483
GeForce RTX 2080 SUPER,19596,740.99,8539,131,98.48904267589388,0.1329154815529142
Radeon R9 Fury,9620,443.1,5095,3575,58.76585928489043,0.13262437211665634
Tesla M40,10183,600.0,6885,1785,79.41176470588235,0.1323529411764706
Radeon R7 360,3062,145.99,1672,6998,19.28489042675894,0.13209733835714046
Quadro M4000,6664,362.0,4126,4544,47.589388696655135,0.13146239971451695
RTX A4000,19364,749.99,8533,137,98.41983852364476,0.13122820107420732
Radeon R9 290 / 390,8150,380.0,4313,4357,49.74625144175317,0.1309111880046136
Radeon R9 380X,6236,349.99,3972,4698,45.813148788927336,0.13089845078124326
Radeon RX 470/570,8044,388.99,4313,4357,49.74625144175317,0.12788568200147346
GeForce RTX 4070 Ti,31688,782.2,8666,4,99.95386389850057,0.12778555855088286
Quadro T1000,6594,375.94,4126,4544,47.589388696655135,0.12658772329801335
Quadro P2200,9375,459.8,5028,3642,57.99307958477509,0.12612674985814504
GeForce GTX 560 SE,1914,89.99,981,7689,11.314878892733564,0.1257348471244979
Radeon HD 6970,2833,149.99,1631,7039,18.81199538638985,0.12542166402020033
GeForce GTX 760 Ti,5191,297.5,3206,5464,36.978085351787776,0.12429608521609337
Radeon 550,1772,74.99,804,7866,9.273356401384083,0.12366124018381229
Radeon RX 6950 XT,28535,808.14,8662,8,99.90772779700116,0.12362675748880288
T400,3620,179.99,1922,6748,22.168396770472896,0.12316460231386685
GeForce RTX 2080,18801,800.61,8533,137,98.41983852364476,0.12293106321885157
Radeon RX Vega 64,14477,749.99,7841,829,90.43829296424452,0.12058599843230514
T1000,7666,399.99,4145,4525,47.8085351787774,0.11952432605509487
GeForce GTX 1060 5GB,9023,487.99,5019,3651,57.88927335640138,0.11862799105801632
FirePro S7000,4524,246.54,2534,6136,29.22722029988466,0.11854960777109054
Quadro M5000,9388,499.0,5028,3642,57.99307958477509,0.11621859636227473
Quadro K4200,4319,249.0,2490,6180,28.719723183391004,0.11534025374855825
RTX A2000,13786,768.99,7652,1018,88.25836216839677,0.11477179439056005
Radeon RX 560,3646,196.99,1954,6716,22.537485582468282,0.11440928769210762
GeForce GTX 980 Ti,13836,778.69,7682,988,88.60438292964244,0.11378646564055328
GeForce 770M,3246,176.99,1746,6924,20.13840830449827,0.11378274650826753
Quadro M2200,4301,249.99,2465,6205,28.431372549019606,0.11373003939765433
